Name,Town,Description,seg
中央大學,中壢區,追星族一眼必認出的「中大十景」﹔告白必勝的大草坪、細雨耍浪漫的中大池、令人心跳加速的情人步道…戲劇熱門取景地，朝聖踩點去！,"['步道', '追星族', '告白', '必認', '必勝', '細雨', '中大池', '戲劇', '熱門', '朝聖', '點去', '取景', '十景', '草坪', '情人', '浪漫', '心跳', '令人', '加速', '一眼']"
大江國際購物中心,中壢區,不管去幾次都不膩的大江，裡頭有著高規格的星橋影城、個性風的服飾品牌、全台獨家的主題餐廳、還有超好拍的裝置藝術，改天還要衝一波！,"['幾次', '不膩', '裡頭', '規格', '星橋', '個性', '服飾', '獨家', '主題', '餐廳', '超好', '裝置', '藝術', '還要', '衝一波', '全台', '改天', '影城', '大江', '品牌', '不管']"
黑松飲料博物館,中壢區,勾起許多人兒時回憶的老牌飲料，從1925年推出第一瓶彈珠汽水後就成了｢台灣味｣的代名詞，來一趟博物館，帶你探尋台式飲料文化。,"['飲料', '代名', '第一瓶', '許多', '人兒', '回憶', '1925', '彈珠', '台灣味', '探尋', '台式', '汽水', '博物', '勾起', '老牌', '一趟', '推出', '文化']"
憶聲電子文物館,中壢區,在AI當道的數位時代，帶你一路回顧黑白電視、時鐘收音機，到現今市場最火紅的3C產品，綜觀台灣電子發展史，絕對使你眼睛一亮。,"['收音', 'AI', '當道', '數位', '時代', '回顧', '電視', '時鐘', '現今', '市場', '最火紅', '3C', '產品', '綜觀', '台灣', '電子', '發展史', '絕對', '黑白', '一路', '眼睛']"
郭元益糕餅博物館,楊梅區,揉揉麵糰，今天想做鳳梨酥還是冰沙餡餅﹖來創意烘焙坊，一圓廚師夢！不只這樣，還要大解密全台最長的隧道爐，了解郭元益飄香百年的秘訣。,"['鳳梨', '還是', '冰沙', '餡餅', '創意', '一圓', '廚師', '這樣', '還要', '大解密', '最長', '郭元益', '飄香', '秘訣', '烘焙', '全台', '百年', '隧道', '了解', '今天']"
雅聞魅力博覽館,楊梅區,歐風玫瑰花園、峇里島發呆亭、香氛步道走廊，讓人一踏進園區就有滿滿度假感，館內另規劃沐浴球、香氛娃娃DIY，小巧可愛適合當紀念品。,"['香氛', '步道', '歐風', '里島', '發呆亭', '一踏進', '園區', '滿滿', '館內', '規劃', 'DIY', '可愛適', '合當', '紀念品', '玫瑰花', '小巧', '度假', '沐浴', '走廊', '娃娃']"
台塑企業文物館,龜山區,張張泛黃的照片、影音資料等豐富文物，揭露台塑企業如何從小規模的公司，成為台灣塑膠產業龍頭，繼而挺進世界舞台的過程。,"['台塑', '張張泛', '資料', '豐富', '企業', '規模', '成為', '台灣', '塑膠', '產業', '龍頭', '繼而', '挺進', '過程', '世界舞台', '影音', '揭露', '文物', '照片', '如何', '公司']"
桃園酒廠,龜山區,享譽國際的玉泉清酒是怎麼製作的﹖來趟酒廠除了認識隱藏在溫潤口感之下的文化內涵，還能DIY酒粕皂、鹽麴，深究清酒之奧妙。,"['清酒', '享譽', '國際', '來趟', '酒廠', '認識', '隱藏', '溫潤', '內涵', '還能', 'DIY', '酒粕', '之奧妙', '深究', '玉泉', '口感', '之下', '除了', '文化']"
可口可樂世界,桃園區,9大展區帶你一探橫掃全球的紅色旋風﹔錯過太可惜的絕版商品、19世紀美國街道神還原、見證榮耀的奧運聖火把…，可樂迷必訪。,"['區帶', '橫掃', '紅色', '旋風', '錯過', '絕版', '19', '世紀', '美國', '還原', '證榮耀', '奧運聖', '可樂迷', '必訪', '大展', '一探', '火把', '街道', '可惜', '商品', '全球']"
南僑桃園生活體驗園區,龜山區,跟著大廚親手體驗製作披薩、泰式春捲、泰式青木瓜沙拉的樂趣；同樣也好玩的水晶肥皂打印體驗，帶一塊專屬於自己的水晶肥皂作紀念。,"['泰式', '肥皂', '水晶', '著大', '廚親', '手體', '青木瓜', '樂趣', '同樣', '體驗', '一塊', '專屬', '作紀念', '沙拉', '好玩', '打印', '自己']"
台茂購物中心,蘆竹區,吃美食、看電影不稀奇，台茂獨創全台，把5500坪公園搬進商場！巨型攀爬索、彩虹直排輪、共融式鞦韆等新型遊具，就是要你玩到瘋！,"['看電影', '台茂獨', '創全台', '5500', '公園', '進商場', '直排', '共融式', '遊具', '攀爬', '稀奇', '彩虹', '美食', '巨型', '新型', '就是']"
竹圍漁港,大園區,幾乎沒有人能抵擋新鮮海鮮的美味逆襲，跟港口賞夕陽、看飛機同樣需列入行程清單的逛漁市，讓荷包君不必哭泣就能滿足吃貨的胃。,"['幾乎', '抵擋', '鮮海鮮', '逆襲', '賞夕陽', '看飛機', '同樣', '清單', '漁市', '滿足', '吃貨', '荷包', '美味', '哭泣', '行程', '列入', '港口', '不必', '有人']"
義美食品生產．生態．生活廠區（觀光工廠）,蘆竹區,探索傳統餅製程、發掘老故事，看老字號品牌如何從街頭小攤搖身一變糕餅龍頭﹖還有讓大人小孩都輕鬆上手的定番西點手作，趣味十足！,"['傳統', '發掘', '老字號', '街頭', '小攤', '搖身', '一變', '餅龍頭', '趣味十足', '小孩', '探索', '大人', '故事', '品牌', '如何']"
溪海休閒農業園區,大園區,捲起袖子種瓜、養雞、桿麵，手把手體驗農人日常﹔園區四季都是花季，海芋鬥艷的時節，繽紛多彩尤其令人為之一亮。,"['海芋', '種瓜', '養雞', '體驗', '農人', '園區', '花季', '鬥艷', '時節', '繽紛', '手把手', '多彩', '袖子', '四季', '日常', '令人', '尤其', '之一']"
白沙岬燈塔,觀音區,從日治時期便屹立於此的老燈塔和老苦楝樹，數年如一日的持續守望著出外人回家的路，廣場設有步道、涼亭，漫步其中感受悠悠時光。,"['步道', '如一日', '日治', '時期', '老燈', '數年', '持續', '出外人', '廣場', '設有', '涼亭', '時光', '苦楝', '守望', '屹立', '漫步', '悠悠', '感受', '回家', '其中']"
觀音自行車道,觀音區,白千層林道引領你通往一場與農村共舞的時光，逗趣的草編裝置藝術迎接遠來的你，還有沿途一座座的埤塘和蓮田都是獨家風景。,"['白千層', '林道', '引領', '一場', '農村', '時光', '編裝置', '藝術', '遠來', '蓮田', '獨家', '風景', '逗趣', '共舞', '一座座', '沿途', '通往', '迎接']"
甘泉寺,觀音區,想了解觀音地名由來必須造訪的百年宮廟，廟內供俸石觀音佛祖，而享有盛名的觀音聖水，長年來已有不計其數的信徒前來朝聖。,"['觀音', '由來', '必須', '造訪', '宮廟', '內供', '石觀音', '聖水', '不計', '其數', '前來', '朝聖', '享有盛名', '佛祖', '地名', '信徒', '百年', '已有', '了解']"
范姜老屋群,新屋區,屋簷燕尾、門楣匾額、卍字牆面…走讀百年客家老屋群，樸實的紅磚平房低調顯露范姜家族的名門風範，而這裡也是新屋地名的起源地。,"['屋簷', '門楣', '匾額', '牆面', '走讀', '樸實', '紅磚', '低調', '顯露', '范姜', '名門', '風範', '這裡', '燕尾', '起源地', '老屋', '客家', '平房', '新屋', '地名', '百年', '家族']"
老K舒眠文化館,新屋區,睡眠是日常生活中最重要的小事，來老K帶你體驗好床，館內可試躺電動按摩床、精油按摩床等頂級床墊，教你寵愛自己就從睡好開始。,"['按摩床', '體驗', '好床', '館內', '可試', '電動', '頂級', '寵愛', '開始', '精油', '睡眠', '小事', '日常生活', '重要', '自己']"
新屋綠色走廊,新屋區,沿途坡道平緩、綠蔭滿佈，旅行的意義不再是騎乘公里數，而是全家大小一起踩著四輪、迎著徐徐海風、談天說地的快樂時光。,"['平緩', '綠蔭滿', '意義', '著四輪', '迎著', '海風', '談天', '快樂', '時光', '坡道', '徐徐', '沿途', '旅行', '全家', '公里', '大小', '不再', '而是', '一起']"
永安漁港,新屋區,總讓旅人念念不忘的濱海夕陽美景，幻彩天光水色一上傳就瘋狂吸讚，同樣是旅程亮點的美味現撈海鮮，吮指鮮甜，一嚐就對味。,"['幻彩', '總讓', '海夕陽', '瘋狂', '同樣', '亮點', '現撈', '海鮮', '指鮮', '旅人', '水色', '念念不忘', '旅程', '一上', '天光', '美景', '美味']"
龍潭三水里茶園,龍潭區,百年茶園啜一口功夫好茶，回甘滋味源自於好山好水和時光醞釀，入春時節綠油油茶園轉為色彩繽紛的魯冰花田，令人無比驚艷。,"['茶園', '回甘', '好山好水', '時光', '醞釀', '時節', '綠油', '園轉', '繽紛', '無比', '驚艷', '入春', '冰花', '源自', '油茶', '百年', '滋味', '功夫', '色彩', '令人', '一口']"
龍潭觀光大池,龍潭區,白天，湖濱公園享綠意、踩腳踏船玩立槳，端午時節還有龍舟大賽，水陸雙玩法夠酷！夜間賞夢幻爆棚的吊橋光雕，高調展開璀璨夜遊。,"['湖濱', '公園', '享綠意', '腳踏船', '玩立', '時節', '龍舟', '大賽', '水陸雙', '夠酷', '夜間', '賞夢幻', '吊橋', '光雕', '高調', '展開', '夜遊', '爆棚', '端午', '玩法', '璀璨', '白天']"
桃園客家文化館,龍潭區,讓美拍模式停不下來的3D立體彩繪就是最佳打卡點，五月桐花開更添浪漫情懷﹔館內收藏也頗有看頭，逛一輪就能變身客家小達人。,"['停不下', '打卡', '3D', '立體', '彩繪', '桐花開', '情懷', '館內', '看頭', '一輪', '變身', '小達人', '更添', '客家', '浪漫', '收藏', '五月', '最佳', '模式', '就是']"
龍潭聖蹟亭,龍潭區,全台保存最完整的惜字亭，以中軸對稱的三進式庭園格局，以及處處皆涵蓋特殊含義的建築細節，表現先人對於文字和紙張的崇敬。,"['惜字', '以中軸', '進式', '庭園', '處處', '涵蓋', '含義的', '建築', '細節', '表現', '紙張', '崇敬', '先人', '完整', '保存', '文字', '格局', '特殊', '以及']"
八德三元宮,八德區,傳承已二百年的｢八德乞龜｣慶典，隨著農曆二月二土地公誕辰，數千斤的｢糯米平安龜｣重磅登場，擲出聖筊就能把福氣帶回家！,"['傳承已', '八德', '乞龜', '慶典', '隨著農', '誕辰', '登場', '福氣', '土地公', '二百年', '重磅', '千斤', '糯米', '二月', '平安', '回家']"
三坑老街,龍潭區,來到龍潭第一街就要大嗑古早味客家小吃﹔菜包、牛汶水、草仔粿，可都別放過，吃飽喝足再去永福宮、青錢第，來個復古三連拍。,"['龍潭', '早味', '菜包', '別放過', '喝足', '青錢', '來個', '古三連', '汶水', '永福', '客家', '小吃', '就要', '第一']"
小人國,龍潭區,環遊世界不是夢，上百座等比縮小的世界知名建築等你一一造訪！園內還有20多種遊樂設施、精彩主題表演，讓全家人都盡情玩樂。,"['環遊', '比縮', '建築', '造訪', '園內', '20', '多種', '遊樂', '設施', '主題', '盡情', '玩樂', '百座', '全家人', '世界', '精彩', '一一', '知名', '表演', '不是']"
石門水庫,大溪區,早期以吃活魚聞名的石門水庫，近來增加了｢楓半馬｣和｢熱氣球嘉年華｣兩大旅遊熱門標籤，老景點新玩法，等你一一來發掘。,"['老景', '以吃活', '魚聞名', '石門', '水庫', '近來', '楓半馬', '熱氣球', '嘉年華', '兩大', '旅遊', '熱門標', '點新', '發掘', '玩法', '一一', '早期', '增加']"
小粗坑古道,龍潭區,五月雪紛飛時，正是一遊古道的最佳時節，片片桐花或在枝頭或在山徑開啟一場花之饗宴，盛夏就看螢火蟲娶親，閃爍螢光絢爛又迷人。,"['五月雪', '紛飛時', '一遊', '時節', '桐花', '枝頭', '山徑', '開啟', '一場', '螢火蟲', '娶親', '閃爍', '螢光', '絢爛', '片片', '古道', '盛夏', '迷人', '最佳', '正是']"
平鎮褒忠祠(義民廟),平鎮區,褒忠祠的興建起源於紀念保衛鄉土的客家烈士義勇軍，廟內主祀義民爺，至今200年的歷史，是客家族群傳承義民信仰的重要據點。,"['客家', '褒忠', '興建', '紀念', '保衛鄉', '義勇', '內主祀', '義民爺', '200', '歷史', '傳承義民', '據點', '族群', '烈士', '起源', '信仰', '至今', '重要']"
大溪陵寢,大溪區,素雅莊敬的四合院、陳設簡約的辦公室，內外皆呼應蔣經國先生一生的簡樸作風，定時的衛兵交接儀式，則是不能錯過的必看亮點。,"['必看', '莊敬', '簡約', '內外', '呼應', '蔣經國', '簡樸', '作風', '定時', '衛兵', '儀式', '則是', '錯過', '亮點', '公室', '素雅', '四合院', '交接', '一生', '先生', '不能']"
慈湖紀念雕塑公園,大溪區,以紀念之名，蒐羅來自各地近三百座的蔣公銅像，打造全台獨有的雕塑公園，循著步道回顧歷史軌跡之餘，也可飽覽小橋流水的庭園造景。,"['步道', '以紀念', '蔣公銅', '獨有', '公園', '循著', '回顧', '歷史', '軌跡', '之餘', '飽覽小橋', '庭園', '造景', '全台', '三百', '雕塑', '之名', '流水', '打造', '各地']"
慈湖遊客中心,大溪區,踏進滿有人文感的展示空間，跟著兩蔣生平，回顧泛黃的歷史篇章，外地人遊北橫的各種大哉問，同樣也能不費力獲得詳盡解答。,"['踏進', '滿有', '空間', '回顧泛', '歷史', '遊北橫', '各種', '大哉問', '同樣', '不費力', '獲得', '詳盡', '外地人', '篇章', '解答', '生平', '人文', '展示']"
慈湖陵寢（前慈湖）,大溪區,值得等待一小時的不NG三軍儀隊操槍秀，到底有多威﹖超整齊的步伐加上花式拋槍，霸氣全場！內行人必卡位，搶到好位就能捕捉到好畫面。,"['卡位', 'NG', '三軍儀隊', '操槍秀', '有多威', '超整', '拋槍', '霸氣', '全場', '搶到', '好位', '畫面', '花式', '捕捉到', '一小', '行人', '步伐', '等待', '值得', '到底', '加上']"
後慈湖,大溪區,昔日的軍事禁地不再，轉而是保有原始生態的忘憂秘境，想放風想放鬆，就來後慈湖欣賞天寬地闊，悠哉感受大自然的綠色療癒力。,"['悠哉', '軍事', '生態', '秘境', '想放風', '來後慈', '湖欣賞', '地闊', '綠色療', '禁地', '保有', '大自然', '昔日', '感受', '原始', '不再', '而是']"
大溪木藝生態博物館﹣木家具館,大溪區,磚紅建築既是遙想大正時代的歷史櫥窗，也是品賞精湛木藝的藝術空間，透過職人的一雕一鑿，傳遞無以複製、穿越百年的大溪美學。,"['磚紅建築', '遙想', '大正', '時代', '歷史', '品賞', '木藝', '藝術', '空間', '透過', '職人', '一雕', '一鑿', '傳遞', '無以', '美學', '大溪', '精湛', '穿越', '百年']"
大溪木藝生態博物館﹣武德殿,大溪區,曾經的武道練習場、憲兵隊辦公室，隨著時代變遷，經過大規模修復後，還原了日治時期的建築樣貌，也轉型成為藝文展覽空間。,"['曾經', '武道', '習場', '憲兵隊', '隨著', '時代變', '經過', '大規模', '還原', '日治', '時期', '建築樣', '轉型', '成為', '藝文展覽', '空間', '公室']"
大溪中正公園,大溪區,蔥蘢綠意的百年公園，是眺望大溪橋賞夕陽的熱門據點，也是爬梳老時光的人文走廊﹔大溪神社、復興亭、相撲場…處處皆故事。,"['大溪', '爬梳', '蔥蘢', '綠意', '公園', '橋賞', '夕陽', '熱門據點', '老時光', '興亭', '相撲場', '處處', '神社', '眺望', '人文', '百年', '走廊', '故事']"
頭寮大池賞鳥,大溪區,看群鳥過境、看小水鴨的冬季日常、看猛禽空中大亂鬥，這些都是野鳥迷連年期待的重頭戲，相機預備好了嗎﹖野鳥的生存之道就要開演！,"['野鳥', '看群', '過境', '看小水', '大亂鬥', '這些', '迷連年', '重頭戲', '相機', '預備', '開演', '生存之道', '猛禽', '日常', '期待', '冬季', '空中', '就要']"
百吉林蔭步道,大溪區,帶上娃兒也能自在踏青的平緩步道，不僅可以一邊大口呼吸芬多精，還能一邊發現藏於山中的豐富物種，春賞杜鵑夏賞桐花，最是愜意。,"['一邊', '步道', '帶上', '娃兒', '平緩', '不僅', '芬多精', '還能', '發現', '豐富', '物種', '春賞', '杜鵑夏賞', '桐花', '愜意', '踏青', '最是', '大口', '山中', '呼吸']"
齋明寺古道,大溪區,古道入口處位於齋明寺旁，現已不見信徒跪叩前行朝聖的畫面，轉而是三三兩兩健走的遊客，在青青古木環繞下，享受林蔭下的愜意。,"['明寺', '處位', '現已', '不見', '朝聖', '畫面', '三三兩', '兩健', '遊客', '環繞', '林蔭下', '愜意', '跪叩', '古木', '古道', '青青', '信徒', '入口', '前行', '享受', '而是']"
御成路古道,大溪區,這條距離大溪老城區不遠的賞桐秘道，不只是自然景色值得玩味，還蘊藏著昔日東宮太子訪台、桃園大圳開鑿的故事，待你來探秘。,"['這條', '距離', '區不遠', '賞桐', '秘道', '還蘊藏', '東宮', '訪台', '桃園', '大圳開', '探秘', '玩味', '大溪', '老城', '景色', '昔日', '太子', '故事', '值得', '自然', '只是']"
富田香草休閒農場(富田花園農場),大溪區,一池湖水倒映藍天白雲、漫步彩虹花田寫下四季序曲、光看就療癒的人氣小動物…，在富田，隨心所欲架上鏡頭就是一張風格美拍！,"['富田', '藍天白', '花田寫', '光看', '就療', '人氣', '小動物', '隨心', '鏡頭', '一張', '風格美', '倒映', '所欲', '序曲', '漫步', '彩虹', '架上', '四季', '湖水', '就是']"
李騰芳古宅,大溪區,大有來頭的舉人宅邸，可是連格局、風水、雕飾都相當講究，來睜大眼找找藏在細節的建築密碼，你會發現古人遠比你想得還有智慧！,"['來頭', '舉人', '風水', '雕飾', '相當', '講究', '來睜大眼', '細節', '建築', '密碼', '你會', '發現', '遠比', '宅邸', '大有', '古人', '智慧', '格局', '可是']"
大溪老街,大溪區,玩味巴洛克建築語彙、來老商行體驗傳統木藝、古廟參拜關聖帝君、品味老字號豆干…，要認識大溪老城區文化，就從百年街屋開始。,"['建築語', '體驗', '傳統', '木藝', '古廟', '參拜', '關聖', '老字號', '認識', '街屋', '開始', '玩味', '大溪', '帝君', '巴洛克', '老城', '商行', '品味', '百年', '文化']"
金蘭醬油博物館,大溪區,瞧瞧超過一甲子的｢醬油黑歷史｣、嚐嚐醬油冰淇淋的鹹甜好滋味、動動手作醬粕香皂、童心噴發彩繪醬油瓶，好吃好玩的醬油之旅，Let’s go！,"['一甲子', '超過', '歷史', '嚐嚐', '醬油', '動動', '手作', '醬粕', '噴發彩', '繪醬', 'Let', 'go', '油黑', '油瓶', '童心', '冰淇淋', '香皂', '好玩', '好吃', '滋味', '瞧瞧']"
東和音樂體驗館,大溪區,化身為音樂人的你，將親手製作屬於自己的樂器、組個熱血樂團、認識樂器的發聲原理，每一種體驗課程都超好玩又知識度十足！,"['音樂人', '將親', '樂器', '組個', '熱血樂團', '認識樂器', '發聲', '每一種', '體驗', '課程', '知識度', '好玩', '化身', '十足', '原理', '自己']"
龜山第一河濱公園,龜山區,騎單車沿水岸兜風，用輕快的節奏悠遊城市綠廊，是一種樂活方式﹔想要感受汗水淋漓的快感，三五好友籃球場、槌球揪一團，熱血十足。,"['單車', '兜風', '用輕快', '節奏', '悠遊', '綠廊', '一種', '樂活', '汗水淋漓', '籃球場', '一團', '熱血', '水岸', '三五', '快感', '好友', '十足', '想要', '感受', '城市', '方式']"
五酒桶山步道,蘆竹區,爬過重重石階後的獎賞，就是一登觀景台，遠眺飛機起降、漁船入港，一次擁有海陸空無敵視野，季節對了還有櫻花、芒花相伴。,"['爬過', '石階後的', '獎賞', '一登', '觀景台', '遠眺', '飛機', '漁船', '擁有', '海陸空', '敵視野', '季節', '櫻花', '芒花', '入港', '起降', '相伴', '重重', '一次', '就是']"
台灣高鐵桃園站,中壢區,與桃園捷運共構的高鐵桃園站，其每日平均進出站人次大約4萬人，相較於北台灣其他車站，僅次於台北站，交通樞紐地位特別重要。,"['桃園', '捷運共構', '高鐵桃園', '進出', '大約', '萬人', '相較', '車站', '僅次', '樞紐', '特別', '北台', '人次', '台北', '每日', '交通', '地位', '平均', '其他', '重要']"
林家古厝休閒農場,觀音區,百年三合院加上萬坪蓮花田，讓你一邊體驗最接地氣的農村風土之餘，還能一邊享用蓮花料理、IG照拍好拍滿，樂當鄉土系吃播網美。,"['一邊', '土系', '三合院', '萬坪', '蓮花田', '體驗', '氣的', '農村', '風土', '之餘', '還能', '蓮花', 'IG', '照拍', '樂當鄉', '吃播', '網美', '接地', '享用', '料理', '百年', '加上']"
蓮荷園休閒農場,觀音區,夏日限定的大王蓮水上漂、唯美蓮池盪鞦韆，另類玩法不能錯過！園內還有販售蓮子剉冰、荷葉炒米粉等特色料理，鹹甜都對你的味！,"['蓮池盪', '另類', '錯過', '園內', '販售', '蓮子', '荷葉', '水上漂', '米粉', '唯美', '玩法', '夏日', '限定', '料理', '大王', '特色', '不能']"
九斗休閒農場,新屋區,最適合全家人的綠色樂園，不只提供近距離認識有機栽種的場域，還可大玩大地遊戲﹔拔河、搖滾車競速、生存遊戲、高空探索，刺激又好玩！,"['遊戲', '適合', '綠色樂園', '認識', '有機', '栽種', '場域', '還可大', '搖滾車', '競速', '拔河', '近距', '好玩', '全家人', '高空', '大地', '探索', '生存', '刺激', '提供']"
溪口台地,復興區,溪口台地是大漢溪流域的河階地，美麗的溪谷景致猶如蔣公故鄉，而聯絡角板山與溪口台地交通的新溪口吊橋，就是當地最知名的地標。,"['溪口', '台地', '大漢溪', '河階地', '美麗', '猶如', '蔣公故', '聯絡', '角板', '吊橋', '當地', '地標', '溪谷', '景致', '知名', '流域', '交通', '就是']"
蓮座山觀音寺,大溪區,廟宇精緻的龍柱、石雕、泥塑、交趾陶等建築裝飾，古樸又顯生氣，與百年老榕樹相呼應，廟前廣場可遠眺大漢溪河階地貌，極為壯闊。,"['廟宇', '陶等', '建築', '裝飾', '古樸', '顯生氣', '榕樹', '相呼應', '廟前', '廣場', '可遠', '眺大漢', '極為', '壯闊', '百年老', '溪河', '交趾', '泥塑', '石雕', '地貌']"
光泉牛奶園地（大園廠）,大園區,剛擠出來的牛奶要經過多少繁複的製造過程才會成為香醇的鮮奶呢﹖館內導覽人員將帶你參觀生產線，並以詳盡的解說為你一一解惑。,"['剛擠', '出來', '經過', '鮮奶', '內導覽', '人員將', '參觀', '生產線', '並以', '詳盡', '解說', '香醇', '解惑', '牛奶', '一一', '多少']"
金車咖啡文教館,中壢區,從咖啡豆的精心挑選、掌握最佳烘焙程度、到最終的設計包裝，走逛每個生產環節，就能明白成就一杯香醇咖啡有多麼不簡單！,"['挑選', '最終', '設計', '包裝', '每個', '生產', '環節', '有多麼', '簡單', '咖啡豆', '烘焙', '香醇', '精心', '咖啡', '一杯', '最佳', '成就', '掌握', '明白', '程度']"
八德埤塘自然生態公園,八德區,超大草皮加上和煦陽光就能成就一場美好的湖畔野餐約會，除了享受美景美食之外，一旁還有水鳥野鴨優雅經過，打造濃濃鄉村風。,"['陽光', '一場', '約會', '水鳥野', '優雅', '經過', '濃濃鄉', '村風', '野餐', '和煦', '草皮', '超大', '美景', '湖畔', '美食', '美好', '打造', '一旁', '成就', '享受', '之外', '加上', '除了']"
青塘園,中壢區,陪孩子散步河堤木棧道賞荷花、觀察濕地生態，探索大自然的奧妙絕對令人不無聊，午後就在湖畔草地席地野餐，悠閒又唯美。,"['木棧', '道賞', '觀察濕', '生態', '奧妙絕', '不無聊', '午後就', '悠閒', '席地', '野餐', '唯美', '湖畔', '荷花', '河堤', '散步', '草地', '大自然', '探索', '令人', '孩子']"
桃園藝文廣場,桃園區,大片綠地讓人只是在晨光下散步也能備感療癒，由不規則形狀的紅色大門通往別具｢藝｣思的表演世界，總是能令人滿載而歸。,"['綠地', '能備', '感療', '規則', '形狀', '紅色', '大門', '別具', '總是', '滿載', '晨光', '散步', '通往', '大片', '表演', '令人', '只是', '世界']"
蘆竹五福宮,蘆竹區,從路口牌樓到寺廟外觀，華麗裝飾精緻又不失莊嚴、百年天爐裊裊香煙，祈財求福的許願上達天聽﹔不論是巡禮廟宇工藝或是參拜，都十分充實。,"['牌樓', '外觀', '華麗裝飾', '莊嚴', '天爐', '裊裊', '香煙', '祈財求', '許願', '達天', '不論', '巡禮廟', '宇工藝', '參拜', '充實', '不失', '百年', '路口', '或是', '十分']"
