Name,Town,Description
永安漁港,新屋區,總讓旅人念念不忘的濱海夕陽美景，幻彩天光水色一上傳就瘋狂吸讚，同樣是旅程亮點的美味現撈海鮮，吮指鮮甜，一嚐就對味。
龍潭三水里茶園,龍潭區,百年茶園啜一口功夫好茶，回甘滋味源自於好山好水和時光醞釀，入春時節綠油油茶園轉為色彩繽紛的魯冰花田，令人無比驚艷。
龍潭觀光大池,龍潭區,白天，湖濱公園享綠意、踩腳踏船玩立槳，端午時節還有龍舟大賽，水陸雙玩法夠酷！夜間賞夢幻爆棚的吊橋光雕，高調展開璀璨夜遊。
桃園客家文化館,龍潭區,讓美拍模式停不下來的3D立體彩繪就是最佳打卡點，五月桐花開更添浪漫情懷﹔館內收藏也頗有看頭，逛一輪就能變身客家小達人。
龍潭聖蹟亭,龍潭區,全台保存最完整的惜字亭，以中軸對稱的三進式庭園格局，以及處處皆涵蓋特殊含義的建築細節，表現先人對於文字和紙張的崇敬。
八德三元宮,八德區,傳承已二百年的｢八德乞龜｣慶典，隨著農曆二月二土地公誕辰，數千斤的｢糯米平安龜｣重磅登場，擲出聖筊就能把福氣帶回家！
三坑老街,龍潭區,來到龍潭第一街就要大嗑古早味客家小吃﹔菜包、牛汶水、草仔粿，可都別放過，吃飽喝足再去永福宮、青錢第，來個復古三連拍。
小人國,龍潭區,環遊世界不是夢，上百座等比縮小的世界知名建築等你一一造訪！園內還有20多種遊樂設施、精彩主題表演，讓全家人都盡情玩樂。
石門水庫,大溪區,早期以吃活魚聞名的石門水庫，近來增加了｢楓半馬｣和｢熱氣球嘉年華｣兩大旅遊熱門標籤，老景點新玩法，等你一一來發掘。
小粗坑古道,龍潭區,五月雪紛飛時，正是一遊古道的最佳時節，片片桐花或在枝頭或在山徑開啟一場花之饗宴，盛夏就看螢火蟲娶親，閃爍螢光絢爛又迷人。
平鎮褒忠祠(義民廟),平鎮區,褒忠祠的興建起源於紀念保衛鄉土的客家烈士義勇軍，廟內主祀義民爺，至今200年的歷史，是客家族群傳承義民信仰的重要據點。
大溪陵寢,大溪區,素雅莊敬的四合院、陳設簡約的辦公室，內外皆呼應蔣經國先生一生的簡樸作風，定時的衛兵交接儀式，則是不能錯過的必看亮點。
慈湖紀念雕塑公園,大溪區,以紀念之名，蒐羅來自各地近三百座的蔣公銅像，打造全台獨有的雕塑公園，循著步道回顧歷史軌跡之餘，也可飽覽小橋流水的庭園造景。
慈湖遊客中心,大溪區,踏進滿有人文感的展示空間，跟著兩蔣生平，回顧泛黃的歷史篇章，外地人遊北橫的各種大哉問，同樣也能不費力獲得詳盡解答。
慈湖陵寢（前慈湖）,大溪區,值得等待一小時的不NG三軍儀隊操槍秀，到底有多威﹖超整齊的步伐加上花式拋槍，霸氣全場！內行人必卡位，搶到好位就能捕捉到好畫面。
後慈湖,大溪區,昔日的軍事禁地不再，轉而是保有原始生態的忘憂秘境，想放風想放鬆，就來後慈湖欣賞天寬地闊，悠哉感受大自然的綠色療癒力。
大溪木藝生態博物館﹣木家具館,大溪區,磚紅建築既是遙想大正時代的歷史櫥窗，也是品賞精湛木藝的藝術空間，透過職人的一雕一鑿，傳遞無以複製、穿越百年的大溪美學。
大溪木藝生態博物館﹣武德殿,大溪區,曾經的武道練習場、憲兵隊辦公室，隨著時代變遷，經過大規模修復後，還原了日治時期的建築樣貌，也轉型成為藝文展覽空間。
大溪中正公園,大溪區,蔥蘢綠意的百年公園，是眺望大溪橋賞夕陽的熱門據點，也是爬梳老時光的人文走廊﹔大溪神社、復興亭、相撲場…處處皆故事。
頭寮大池賞鳥,大溪區,看群鳥過境、看小水鴨的冬季日常、看猛禽空中大亂鬥，這些都是野鳥迷連年期待的重頭戲，相機預備好了嗎﹖野鳥的生存之道就要開演！
百吉林蔭步道,大溪區,帶上娃兒也能自在踏青的平緩步道，不僅可以一邊大口呼吸芬多精，還能一邊發現藏於山中的豐富物種，春賞杜鵑夏賞桐花，最是愜意。
齋明寺古道,大溪區,古道入口處位於齋明寺旁，現已不見信徒跪叩前行朝聖的畫面，轉而是三三兩兩健走的遊客，在青青古木環繞下，享受林蔭下的愜意。
御成路古道,大溪區,這條距離大溪老城區不遠的賞桐秘道，不只是自然景色值得玩味，還蘊藏著昔日東宮太子訪台、桃園大圳開鑿的故事，待你來探秘。
富田香草休閒農場(富田花園農場),大溪區,一池湖水倒映藍天白雲、漫步彩虹花田寫下四季序曲、光看就療癒的人氣小動物…，在富田，隨心所欲架上鏡頭就是一張風格美拍！
李騰芳古宅,大溪區,大有來頭的舉人宅邸，可是連格局、風水、雕飾都相當講究，來睜大眼找找藏在細節的建築密碼，你會發現古人遠比你想得還有智慧！
大溪老街,大溪區,玩味巴洛克建築語彙、來老商行體驗傳統木藝、古廟參拜關聖帝君、品味老字號豆干…，要認識大溪老城區文化，就從百年街屋開始。
金蘭醬油博物館,大溪區,瞧瞧超過一甲子的｢醬油黑歷史｣、嚐嚐醬油冰淇淋的鹹甜好滋味、動動手作醬粕香皂、童心噴發彩繪醬油瓶，好吃好玩的醬油之旅，Let’s go！
東和音樂體驗館,大溪區,化身為音樂人的你，將親手製作屬於自己的樂器、組個熱血樂團、認識樂器的發聲原理，每一種體驗課程都超好玩又知識度十足！
龜山第一河濱公園,龜山區,騎單車沿水岸兜風，用輕快的節奏悠遊城市綠廊，是一種樂活方式﹔想要感受汗水淋漓的快感，三五好友籃球場、槌球揪一團，熱血十足。
五酒桶山步道,蘆竹區,爬過重重石階後的獎賞，就是一登觀景台，遠眺飛機起降、漁船入港，一次擁有海陸空無敵視野，季節對了還有櫻花、芒花相伴。
台灣高鐵桃園站,中壢區,與桃園捷運共構的高鐵桃園站，其每日平均進出站人次大約4萬人，相較於北台灣其他車站，僅次於台北站，交通樞紐地位特別重要。
林家古厝休閒農場,觀音區,百年三合院加上萬坪蓮花田，讓你一邊體驗最接地氣的農村風土之餘，還能一邊享用蓮花料理、IG照拍好拍滿，樂當鄉土系吃播網美。
蓮荷園休閒農場,觀音區,夏日限定的大王蓮水上漂、唯美蓮池盪鞦韆，另類玩法不能錯過！園內還有販售蓮子剉冰、荷葉炒米粉等特色料理，鹹甜都對你的味！
九斗休閒農場,新屋區,最適合全家人的綠色樂園，不只提供近距離認識有機栽種的場域，還可大玩大地遊戲﹔拔河、搖滾車競速、生存遊戲、高空探索，刺激又好玩！
溪口台地,復興區,溪口台地是大漢溪流域的河階地，美麗的溪谷景致猶如蔣公故鄉，而聯絡角板山與溪口台地交通的新溪口吊橋，就是當地最知名的地標。
蓮座山觀音寺,大溪區,廟宇精緻的龍柱、石雕、泥塑、交趾陶等建築裝飾，古樸又顯生氣，與百年老榕樹相呼應，廟前廣場可遠眺大漢溪河階地貌，極為壯闊。
光泉牛奶園地（大園廠）,大園區,剛擠出來的牛奶要經過多少繁複的製造過程才會成為香醇的鮮奶呢﹖館內導覽人員將帶你參觀生產線，並以詳盡的解說為你一一解惑。
金車咖啡文教館,中壢區,從咖啡豆的精心挑選、掌握最佳烘焙程度、到最終的設計包裝，走逛每個生產環節，就能明白成就一杯香醇咖啡有多麼不簡單！
八德埤塘自然生態公園,八德區,超大草皮加上和煦陽光就能成就一場美好的湖畔野餐約會，除了享受美景美食之外，一旁還有水鳥野鴨優雅經過，打造濃濃鄉村風。
青塘園,中壢區,陪孩子散步河堤木棧道賞荷花、觀察濕地生態，探索大自然的奧妙絕對令人不無聊，午後就在湖畔草地席地野餐，悠閒又唯美。
桃園藝文廣場,桃園區,大片綠地讓人只是在晨光下散步也能備感療癒，由不規則形狀的紅色大門通往別具｢藝｣思的表演世界，總是能令人滿載而歸。
蘆竹五福宮,蘆竹區,從路口牌樓到寺廟外觀，華麗裝飾精緻又不失莊嚴、百年天爐裊裊香煙，祈財求福的許願上達天聽﹔不論是巡禮廟宇工藝或是參拜，都十分充實。
壽山巖觀音寺,龜山區,雕塑秀麗的殿宇搭上小橋流水，令人彷彿置身中國宮廷，而當初春時節，則成了旅人追櫻的熱門去處，點點櫻花滿開，為莊嚴的廟宇添了幾許悠然。
大溪齋明寺,大溪區,靜靜欣賞古樸寺院中的老樹、花木和每一隅的建築細節，是虔心禮佛、禪修之餘，另外一種讓心靈跳脫平時煩憂，全然舒放的良方。
小烏來天空步道,復興區,凌空漫步70公尺高透明廊道，嘩啦啦溪水、超廣角視野，叫人腳趾都發麻！完成挑戰後，還有50公噸風動石定格秀，讓旅程驚嘆再一波。
原住民族文化會館,大溪區,關於認識原住民文化的各類小常識，逛逛館內豐富的文物館藏能讓你收穫滿滿，欣賞活力十足的傳統舞蹈表演和參與部落慶典也是值得推薦。
佳安里(石門十一份),龍潭區,把家中毛小孩帶上，在超大草坪上奔跑踢球、抬頭欣賞飛翔於高空的風箏，好不愜意！初夏五月桐花盛開如皚皚白雪，則是另一種風景。
觀音濱海遊憩區,觀音區,踏浪堆沙、發現寄居蟹、小螃蟹的沙灘蹤跡，伴著海潮之聲看大風車轉啊轉、欣賞夕陽西下的動容美景…為身心靈再次充飽元氣。
大溪河濱公園,大溪區,綠油油的草地和各式各樣的遊戲設施，都好像在邀請你快來玩耍，你可以盡情跑跳，當然也可以找個蔭涼處野餐賞落羽松，從容製造小確幸。
宏亞巧克力共和國,八德區,課本學不到的巧克力冷知識全部告訴你﹔好玩的DIY工坊教你製作獨一無二的甜點、把廢酒瓶變成藝術品，一起進入巧克力的夢想國度吧！
經國紀念館﹙大溪遊客中心﹚,大溪區,館內收藏的珍貴史料﹣親筆家書、專用座車、與國際政要的合影…引領旅人從多面向認識經國先生﹔館內另有旅遊諮詢服務，初訪者也能玩得盡興。
老街溪河川教育中心,中壢區,究竟南桃園的人文發展，和這條母親之河有什麼樣的關聯﹖老街溪又是如何擺脫｢臭名｣，成為環教熱點﹖讓我們來館內看下去！
江記豆腐乳文化館,中壢區,融合現代技術與代代相傳的陳釀風味，江記把餐桌上的配角轉變為文化的展現﹔館內特別提供豆腐乳DIY，邀您一起感受匠人手作精神。
太平洋自行車博物館,新屋區,館內展示超過來自世界各國200台的自行車，使旅人透視全球日新月異的自行車科技之外，還可以現場試乘，體驗駕馭新型車款的快感。
巴陵古道生態園區,復興區,要認識巴陵的明媚風光，園區內的蝴蝶館、甲蟲館、闊葉林館，以及地質館等四座館舍，讓你爬山不再走馬看花，深度領略山林美好。
桃園1-4號生態埤塘,桃園區,在落羽松、海桐、楊柳的環抱之下，散步在環池步道成了一種悠然享受，而駐足木棧平台賞飛鳥點水而過、嬌豔的香水蓮盛開，則是分外愜意。
好時節休閒農場 (好時節農莊),大溪區,來到開心農場真實版，怎麼能錯過與梅花鹿、山羊互動的好機會﹖還有令人興奮的龍眼木窯烤披薩DIY，零廚藝也能晉升小廚神。
老街溪水岸自行車道,平鎮區,老街溪真的不一樣了！3.6公里的親水車道，一路串聯新勢公園、河川教育中心、伯公壇等景點，隨時上路都能展開一場美好｢騎｣遇。
新勢公園,平鎮區,無論你是想踩上滑板大展身手、攀岩場上大秀肌肉、與姊妹淘在野餐墊上大嗑美食、或是讓孩子大發玩心，這裡就是你的大遊藝場！
大古山步道,蘆竹區,從步道入口到觀景台不到1公里就能坐擁制高視角，春天野百合盛開，讓旅途更添驚喜﹔黃昏後繽紛夜色登場，則是令一種微醺風景。
羊稠森林步道,蘆竹區,綠林內的甲蟲擂台、穿山甲的秘密基地…健走之餘，欣賞生態大展演是一定要的，至高點還有海陸空霸氣視野迎接你，旅程超充實！
長流當代美術館(桃園館),蘆竹區,致力推廣藝術，並將美的思維融入日常生活，是該館從始至終不變的理念，館內收藏多件華人藝術家之珍貴畫作，堪為地方上的文化寶庫。
龍情‧魔幻豆子主題館,大溪區,來跟花生家族把堅果小知識學起來，超好玩的製糖小學堂和棉花糖DIY，打造與孩子的甜品精心時光，最後再到伴手禮區買一波，開心吃甜甜。
祥儀機器人夢工廠,桃園區,機器人大戰鋼鐵擂台、機器人曲棍球大賽、活靈活現的三太子機器人…超多互動體驗，搭上合力DIY組裝機器人，邊玩邊學樂趣十足！
卡司‧蒂菈樂園（金格觀光工廠）,蘆竹區,烤餅乾、彩繪薑餅屋，親子動動手，夢幻甜點自己做，再來參觀長崎蛋糕生產線、學習實用的食安常識，陪孩子一起長飲食小知識。
興仁夜市,八德區,想要大啖各路料理的就來美食天地，想要玩遊戲買衣服的就來歡樂王國，分區規劃更好逛，區內還設有遮雨棚，就算下雨也能開心逛夜市！
霄裡大池(霄裡池),八德區,匯聚了自然綠意與悠久人文，6甲大的霄裡大池百餘年來灌溉著八德南區的農田，如天空之鏡的池面映照著天光雲影，靜看也是享受。
許厝港濕地,大園區,北台灣最大的海岸型濕地、野鳥迷必收的追鳥熱點，超過200種水鳥在此棲息、覓食﹔每年秋冬之際，上千隻水鳥現蹤，絕對值得一睹盛況。
大溪老茶廠,大溪區,在和洋融合的風格建築中，用啜飲一杯東方美人茶的時間，和友人一同談天說地，細細領略韶光靜好的悠然，就是最好的回甘滋味。
馬祖新村眷村文創園區,中壢區,乘載軍眷日常的屋舍，隨著歲月更迭，成了推廣質感生活的創意基地﹔不定期舉辦的市集、名人講座、選物分享，帶你走進諸般好時光。
中壢觀光夜市,中壢區,全長700公尺、超過400攤，蒐羅各式銅板美食，讓你花小錢就能遍嚐特色小吃，吃飽喝足就要開啟購物模式，輕鬆買齊當季行頭。
中原商圈 (中原夜市),中壢區,有令你熟悉的在地小吃，也有大玩混搭的創意美食，華燈初上時，整座夜市一路飄香，只要你｢肚量｣夠大，歡迎過足你的吃貨癮。
中平路商圈,中壢區,中壢火車站前一級逛街陣地，走一波就能把永遠都少一件衣服的衣櫃補好補滿，也可順道享受一段美味時光，古早味、異國料理，應有盡有。
羊世界牧場,中壢區,小孩才做選擇！這裡是老饕必插旗的羊肉料理據點，也是能和萌寵動物同框的親子樂園，輕鬆搞定你旅行的二個願望，沒那麼困難！
桃園觀光夜市,桃園區,在地人從小吃到大的花枝羹、蚵仔煎、古早味愛玉，還有大阪燒、韓式炸雞、越南河粉…等異國美味，中外大比拚，看看誰是你心頭好！
孔廟,桃園區,以中國宮殿為藍本的孔廟，建築風格莊嚴帶有尊榮感，建造細節皆遵循古制，表現崇尚至聖先師的意涵，每年教師節依例舉行祭孔大典。
虎頭山環保公園,桃園區,一閃一閃亮晶晶，璀璨燈火放光明！市區賞夜景激推熱點，讓你不必登百岳，也不必考驗自己的腿力，就能一睹夕陽無限好的絕美景致。
楓樹坑,龜山區,面向田野，讓感官被遠處的山、吹拂的風、眼前的綠而喚醒，接著在百年楓香樹下打卡，記錄邂逅另一條伯朗大道的心情記事。
忠貞商圈,中壢區,最道地的滇緬好滋味吃飽吃滿，米干、大薄片、檸檬魚，全部來一輪，必需加入行事曆的龍岡米干節，讓你嚐美食之餘還深入金三角文化，大推！
比亞外部落,復興區,世外桃源真實版就在這座高海拔的泰雅部落，想體會郊野的美，從踏查友善耕作、自給自足的族人生活之道，到邂逅藍腹鷴，都是極佳之選。
義興吊橋,復興區,站上桃園唯一的水管橋，徜徉在蔚藍天空和大漢溪谷之間，15層樓高的高度，有點刺激又有點療癒，讓人跨足一步也忍不住心跳加快！
稻米故事館,新屋區,來到北台灣的｢米都｣，走訪這棟超過80年歷史的舊穀倉，參觀百年碾米機、欣賞老建築風采、認識代代相傳的米食文化，包你滿載而歸。
富岡老街,楊梅區,小而美的老街上，浮雕細緻且華麗的巴洛克洋樓、擁有近百年歷史的磚砌十連棟，都是耐人尋味的富岡印記，記錄著小鎮昔日的繁華歲月。
秀才登山步道,楊梅區,老少咸宜的平緩柏油路、495階腳勤人專屬天梯，2款路線任君挑選，沿途俯視層層茶園景致加上四季輪轉的芒花、桐花，也是種享受。
大平橋,龍潭區,曾獲選為台灣歷史建築百景，在地人口中的糯米橋，紅磚橋身倒影在打鐵坑溪，融合周邊的農村風景，別有一番優雅古意。
憲光二村,龜山區,走訪全桃園唯一的憲兵宿舍，裝載歲月的老皮箱、連排黑瓦平房、飄揚的國旗、老榕樹下的鞦韆...，拼湊記憶中光陰的故事。
眷村故事館,龜山區,舊皮箱、縫紉機、黑膠唱片、黑白電視機…穿梭眷村客廳、雜貨店，每一件看似不起眼的生活物品，都是一個個50﹣60年代的動人故事。
GFun機能生活館,觀音區,機能布料可不是噱頭，歡迎來館內｢風雨體驗走廊｣、｢伸展體驗活動區｣、｢機能體驗DIY｣，就能明白NIKE、愛迪達為何如此愛用。
巴陵橋_巴陵大橋_巴陵舊橋,復興區,慢步沒有車輛干擾的舊橋隧道感受濃濃泰雅風情，或是在粉得很亮眼的新橋，把大漢溪谷的美好好看盡，雙橋雙玩法，兩種都很推！
竹圃茶園小木屋休閒農場,蘆竹區,翠綠的茶園與結實累累的稻田，是園區中耐人尋味的美景，還有時節限定的桐花、櫻花、落羽松，歡迎來作客的你，一同感受當季。
戀戀空港灣休閒農場,蘆竹區,快揪上你的好友一同來當一日小農，體驗葡萄套袋、鮮採諾麗果、動手製作果醋、認識友善農法，各種玩樂兼學習的行程，保證令你印象深刻。
泉園休閒農場,蘆竹區,跟著園主種樹、種野百合、種綠竹筍、培育葡萄，自然農法初體驗，讓久居城市的你重新找回擁抱大自然的悸動，還能學一波中草藥小知識。
耀輝牧場,楊梅區,還記得第一次拿牧草餵小牛，既緊張又興奮的心情嗎﹖來、來、來，重溫你的孩提回憶之外，同場超展開你的農事技能，超Chill！
圓光禪寺,中壢區,中壢市郊頗富盛名的古剎，格局恢弘的殿宇和中式園林，構成一幅清幽的景致，寺院不乏旅人漫步的行蹤，感受遠離塵囂的寧靜。
中壢仁海宮,中壢區,堪稱為南桃園信仰中心的仁海宮，恢弘氣派的百年廟殿供奉千年沉香媽祖，在冉冉昇起的香煙中，聆聽著善男信女的真誠祈願。
大溪木藝生態博物館﹣壹號館,大溪區,舞龍隊整齊列隊、藝師專注創作、學徒練習抬轎、大仙尪仔威武出巡…一個個小巧可愛的木偶，生動展示大嵙崁悠遠又濃厚的人文風采。
樂天桃園棒球場,中壢區,以國際級規格打造、北台灣人氣超夯的棒球場，不只是熱血球賽的競技殿堂，也曾是五月天、槍與玫瑰等樂團開唱的搖滾舞台。
中平路故事館,中壢區,1930年興建的雙併日式建築，承載著兩家人的生活印記，時至今日，轉而成為認識在地常民日常的｢城市文化客廳｣，讓老屋的故事繼續延續下去。
楓樹腳公園,八德區,綠樹林立、占地3.5公頃的園區，規劃有自行車道、向陽草坪、光榮球場、麗景綠廊、亮彩廣場等休閒場域，是地方居民運動的熱門場地。
大園公園,大園區,想重拾盡情揮汗的暢快，槌球場、綠蔭步道等你熱血揪團來PK﹔想帶孩子放風玩耍，溜滑梯、攀爬架、搖搖馬，絕對比玩手機還好玩！
大溪埔頂公園,大溪區,公園內也可以玩高空溜索﹖這裡沒有罐頭遊具，有的是滾輪溜滑梯、樹屋遊戲區、共融式旋轉盤，為親子共遊時光製造無窮歡樂。
三坑自然生態公園,龍潭區,翠綠山色倒映在湖心，步上木棧道靜賞這片如詩風景，心也跟著悠然，途中想歇息，園裡的涼亭和遼闊草坪都是推薦的舒心去處。
大溪橋,大溪區,復古拱門、氣派雕花，巴洛克風格的大溪橋，不只是連接大漢溪的重要通道，也是欣賞崁津美景的絕佳據點，入夜後光雕閃耀，更添風采。
龍岡國旗屋,中壢區,雙十國慶來升旗、聽故事、吃米干，咀嚼來自滇緬的歲月之味，入口所嚐既是懷舊也是米食文化的傳承，這一碗平民美食，著實不簡單！
中壢六和商圈,中壢區,總使你陷入｢每一家都想吃｣的苦惱，要吃視覺系打卡甜點店、三五好友小酌很盡興的居酒屋、還是優雅慢食的新泰式料理﹖這問題恐怕不好解！
龜山楓樹坑步道,龜山區,全程約3公里的步道，沿途自然林相豐富，除了各類常綠喬木，還有油桐、山櫻、山芙蓉、月桃、芒草等植物點綴四季風景，至高處可遠眺大棟山。
虎頭山公園,龜山區,想要親近山林不一定非要舟車勞頓，桃園市心後花園完善的步道系統，滿足想兜風、練腿力、賞桐花，或是來個生態之旅的你。
大溪慈湖步道,大溪區,雖然總里程迷你，卻是一條熱門步道，就算你不是健走咖，也可以在當中享受漫步林蔭、欣賞湖光山色的清幽，一路輕鬆抵達陵寢。
小烏來天空繩橋,復興區,別擔心，橋雖搖晃，但你不會掉到地上！走在70公尺長、離地50公尺的繩橋，縱橫大利幹溪谷之際，一邊遠眺神秘瀑布，驚險又好玩。
龍岡清真寺,中壢區,北台灣重要的伊斯蘭信仰中心，翡翠色的建築外觀象徵崇尚和平，室內設有男女禮拜殿、念經室、接待室，提供信徒虔心參拜的空間。
新街國小日式宿舍群,中壢區,隱身校園內的木造屋舍，彷彿將時間倒流到昭和舊日，不如就好好善用這復古氛圍，席坐外廊聽風看雲朵，春天粉櫻滿開，更顯浪漫。
中壢老街溪步道、新街溪步道,平鎮區,綿延數公里的步道盡是盎然綠茵，春日還有櫻花點綴﹔淙淙溪水清澈見底，不時能見白鷺鷥、翠鳥等蹤影，豐富生態令人無比驚艷。
三龜戲水,復興區,登上崖邊觀景台，一眺玉峰溪與三光溪匯聚的河谷地景，酷似龜背的山巒和蜿蜒的河道，是來訪巴陵地區最具代表性的美景之一。
大慶洞,大溪區,超擬真3D彩繪，讓你綜覽大溪之美﹔和平老街、大溪橋、武德殿、農特產、百年商行，華麗色彩盡顯老城區風姿，真的是別有｢洞｣天！
爺亨梯田,復興區,遠觀層層疊疊超過1200層的梯田，蜿蜒線條整齊劃一，景緻動人﹔當地除了溫泉頗具盛名，紅娘芭樂和媽媽桃則是最佳伴手禮。
華泰名品城,中壢區,百大國際品牌全年祭出優惠，省錢入手經典單品，締造你的獨有魅力﹔大展風潮的人氣餐館，讓品味從外在穿搭到飲食，都是極入流的表現。
龍元宮商圈,龍潭區,廟口無非就是庶民小吃的集散地，從屹立多年的傳統美味，到在地人必私藏的創意小點，都令人嘗了就忍不住打卡分享新發現！
大湳圖書館,八德區,走過半世紀，眷村電影院蛻變成了閱讀文字與影像的人文空間，保留下來的軍工建築特色，激盪出新與舊的完美融合，讓老宅持續迷人。
阿姆坪薑母島,大溪區,搭上渡船一次把石門水庫的山川水色達陣﹔龍珠灣、夢幻草原、石秀灣瀑布、長興斷橋…，晨昏四季都能有不同於陸路旅遊的驚奇發現。
